ID_ND_NALEZ;IDX_ND_AKCE;DRUH;CESKE_JME;AUTOR;DATUM_OD;DATUM_DO;IDX_ND_LOK;LOKALITA;KOD_LOKALITY;SKUPINA;EVL;PROC_EVL;NEGATIVNI;IDX_ND_LOKALIZACE;MAX_PROC;POLE;DATUM;DEN;MESIC;ROK;kod_chu;nazev_chu;KOD_LOKAL;CILMON;STAV_IND;ID_IND;HOD_IND;TYP_IND;LIM_IND;JEDNOTKA;KLIC;UROVEN;pozn;...34;LIM_INDLIST;IND_GRP;NAZEV;pracoviste;oop
43515153;10123976;Lampetra planeri;mihule potoční;Jurajda Pavel;01.01.2017;31.12.2017;6340059;Jizera - Rybnice;NA;Ryby a mihule;CZ0514672: Údolí Jizery a Kamenice;100;0;6340059;100;5358c;2017-01-01;1;1;2017;CZ0514672;Údolí Jizery a Kamenice;CZ0514672;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Údolí Jizery a Kamenice;RP Liberecko;Krajský úřad Libereckého kraje
43515153;10123976;Lampetra planeri;mihule potoční;Jurajda Pavel;01.01.2017;31.12.2017;6340059;Jizera - Rybnice;NA;Ryby a mihule;CZ0514672: Údolí Jizery a Kamenice;100;0;6340059;100;5358c;2017-01-01;1;1;2017;CZ0514672;Údolí Jizery a Kamenice;CZ0514672;0;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Údolí Jizery a Kamenice;RP Liberecko;Krajský úřad Libereckého kraje
43523162;10125342;Cottus gobio;vranka obecná;Prokopová Milena;27.09.2017;27.09.2017;6341252;Radbuza - Mostek u Rybníku;NA;Ryby a mihule;CZ0323166: Radbuza - Nový Dvůr - Pila;100;0;6341252;100;6442c;2017-09-27;27;9;2017;CZ0323166;Radbuza - Nový Dvůr - Pila;CZ0323166;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Radbuza - Nový Dvůr - Pila;RP SCHKO Český les;AOPK ČR - RP SCHKO Český les
43523162;10125342;Cottus gobio;vranka obecná;Prokopová Milena;27.09.2017;27.09.2017;6341252;Radbuza - Mostek u Rybníku;NA;Ryby a mihule;CZ0323166: Radbuza - Nový Dvůr - Pila;100;0;6341252;100;6442c;2017-09-27;27;9;2017;CZ0323166;Radbuza - Nový Dvůr - Pila;CZ0323166;0;0;POP_VITALITA;0;val;3;NA;ano;lok;NA;NA;3;val;Radbuza - Nový Dvůr - Pila;RP SCHKO Český les;AOPK ČR - RP SCHKO Český les
43523164;10125343;Cottus gobio;vranka obecná;Prokopová Milena;27.09.2017;27.09.2017;6341254;Radbuza - Nový Dvůr;NA;Ryby a mihule;CZ0323166: Radbuza - Nový Dvůr - Pila;100;0;6341254;100;6441b;2017-09-27;27;9;2017;CZ0323166;Radbuza - Nový Dvůr - Pila;CZ0323166;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Radbuza - Nový Dvůr - Pila;RP SCHKO Český les;AOPK ČR - RP SCHKO Český les
43523164;10125343;Cottus gobio;vranka obecná;Prokopová Milena;27.09.2017;27.09.2017;6341254;Radbuza - Nový Dvůr;NA;Ryby a mihule;CZ0323166: Radbuza - Nový Dvůr - Pila;100;0;6341254;100;6441b;2017-09-27;27;9;2017;CZ0323166;Radbuza - Nový Dvůr - Pila;CZ0323166;0;0;POP_VITALITA;0;val;3;NA;ano;lok;NA;NA;3;val;Radbuza - Nový Dvůr - Pila;RP SCHKO Český les;AOPK ČR - RP SCHKO Český les
43523165;10125343;Cottus gobio;vranka obecná;Prokopová Milena;27.09.2017;27.09.2017;6341254;Radbuza - Nový Dvůr;NA;Ryby a mihule;CZ0323166: Radbuza - Nový Dvůr - Pila;100;0;6341254;100;6441b;2017-09-27;27;9;2017;CZ0323166;Radbuza - Nový Dvůr - Pila;CZ0323166;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Radbuza - Nový Dvůr - Pila;RP SCHKO Český les;AOPK ČR - RP SCHKO Český les
43523165;10125343;Cottus gobio;vranka obecná;Prokopová Milena;27.09.2017;27.09.2017;6341254;Radbuza - Nový Dvůr;NA;Ryby a mihule;CZ0323166: Radbuza - Nový Dvůr - Pila;100;0;6341254;100;6441b;2017-09-27;27;9;2017;CZ0323166;Radbuza - Nový Dvůr - Pila;CZ0323166;0;0;POP_VITALITA;0;val;3;NA;ano;lok;NA;NA;3;val;Radbuza - Nový Dvůr - Pila;RP SCHKO Český les;AOPK ČR - RP SCHKO Český les
43768706;10140653;Misgurnus fossilis;piskoř pruhovaný;Merta Lukáš;26.09.2017;26.09.2017;6372543;Medvídka - Petrov I;NA;Ryby a mihule;CZ0624068: Strážnická Morava;100;0;6372543;100;7169b;2017-09-26;26;9;2017;CZ0624068;Strážnická Morava;CZ0624068;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Strážnická Morava;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje
43768706;10140653;Misgurnus fossilis;piskoř pruhovaný;Merta Lukáš;26.09.2017;26.09.2017;6372543;Medvídka - Petrov I;NA;Ryby a mihule;CZ0624068: Strážnická Morava;100;0;6372543;100;7169b;2017-09-26;26;9;2017;CZ0624068;Strážnická Morava;CZ0624068;0;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Strážnická Morava;RP SCHKO Bílé Karpaty;Krajský úřad Jihomoravského kraje
