"kod_chu","DRUH","KOD_LOKAL","POLE","ROK","ID_IND","SKUPINA","NAZEV_LOK","ID_ND_AKCE","DATUM","HOD_IND","TYP_IND","LIM_IND","JEDNOTKA","LIM_INDLIST","STAV_IND","KLIC","IND_GRP","UROVEN","CILMON","IND_SUM","IND_SUMKLIC","IND_SUMOST","IND_LEN","IND_LENKLIC","IND_LENOST","CELKOVE","NAZEV","HODNOCENE_OBDOBI_OD","HODNOCENE_OBDOBI_DO","pracoviste","oop"
"CZ0424141","Cottus gobio","CHKO Èeské støedohoøí","5350b","2021","CELKOVE_HODNOCENI","Ryby a mihule","Olešnickı potok - Olešnice, Homolskı potok - Velké Bøezno, Labe - Malé Bøezno","13125597, 13125602, 13125640","2021-09-03","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","0","0","0",8,2,6,0,"Porta Bohemica",2021-08-26,2021-09-03,"RP SCHKO Èeské støedohoøí","AOPK ÈR - RP SCHKO Èeské støedohoøí, Krajskı úøad Ústeckého kraje, Správa NP Èeské Švıcarsko"
"CZ0424141","Cottus gobio","CHKO Èeské støedohoøí","5350b","2021","POP_VITALITA","Ryby a mihule","Olešnickı potok - Olešnice, Homolskı potok - Velké Bøezno, Labe - Malé Bøezno","13125597, 13125602, 13125640","2021-09-03","1","val","3",NA,"3",0,"ano","val","lok","1","0","0","0",8,2,6,0,"Porta Bohemica",2021-08-26,2021-09-03,"RP SCHKO Èeské støedohoøí","AOPK ÈR - RP SCHKO Èeské støedohoøí, Krajskı úøad Ústeckého kraje, Správa NP Èeské Švıcarsko"
"CZ0510441","Cottus gobio","CHKO Èeské støedohoøí","5352a","2021","CELKOVE_HODNOCENI","Ryby a mihule","Bobøí potok - Louèky_PP Bobøí soutìska","13125610","2021-08-12","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","0","0","0",8,2,6,0,"Binov - Bobøí soutìska",2021-08-12,2021-08-12,"RP SCHKO Èeské støedohoøí","AOPK ÈR - RP SCHKO Èeské støedohoøí"
"CZ0510441","Cottus gobio","CHKO Èeské støedohoøí","5352a","2021","POP_VITALITA","Ryby a mihule","Bobøí potok - Louèky_PP Bobøí soutìska","13125610","2021-08-12","1","val","3",NA,"3",0,"ano","val","lok","1","0","0","0",8,2,6,0,"Binov - Bobøí soutìska",2021-08-12,2021-08-12,"RP SCHKO Èeské støedohoøí","AOPK ÈR - RP SCHKO Èeské støedohoøí"
"CZ0214039","Cottus gobio","CHKO Køivoklátsko","6049c","2021","CELKOVE_HODNOCENI","Ryby a mihule","Paøezovı potok - Bøezová - Andreska","13125617","2021-10-26","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","1","1","0",8,2,6,0,"Stroupínskı potok",2021-10-26,2021-10-26,"RP Støední Èechy","AOPK ÈR - RP Støední Èechy, Krajskı úøad Støedoèeského kraje"
"CZ0214039","Cottus gobio","CHKO Køivoklátsko","6049c","2021","POP_VITALITA","Ryby a mihule","Paøezovı potok - Bøezová - Andreska","13125617","2021-10-26","3","val","3",NA,"3",1,"ano","val","lok","1","1","1","0",8,2,6,0,"Stroupínskı potok",2021-10-26,2021-10-26,"RP Støední Èechy","AOPK ÈR - RP Støední Èechy, Krajskı úøad Støedoèeského kraje"
"CZ0513505","Cottus gobio","CHKO Èeské støedohoøí","5252c","2021","CELKOVE_HODNOCENI","Ryby a mihule","Merboltickı potok - Malı Šachov","13125625","2021-09-07","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","0","0","0",8,2,6,0,"Dolní Plouènice",2021-09-07,2021-09-07,"RP SCHKO Èeské støedohoøí","AOPK ÈR - RP SCHKO Èeské støedohoøí, Krajskı úøad Libereckého kraje"
"CZ0513505","Cottus gobio","CHKO Èeské støedohoøí","5252c","2021","POP_VITALITA","Ryby a mihule","Merboltickı potok - Malı Šachov","13125625","2021-09-07","1","val","3",NA,"3",0,"ano","val","lok","1","0","0","0",8,2,6,0,"Dolní Plouènice",2021-09-07,2021-09-07,"RP SCHKO Èeské støedohoøí","AOPK ÈR - RP SCHKO Èeské støedohoøí, Krajskı úøad Libereckého kraje"
"CZ0424141","Cottus gobio","CHKO Èeské Støedohoøí","5450a","2021","CELKOVE_HODNOCENI","Ryby a mihule","Labe - Prackovice","13125636","2021-08-25","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","0","0","0",8,2,6,0,"Porta Bohemica",2021-08-25,2021-08-25,"RP SCHKO Èeské støedohoøí","AOPK ÈR - RP SCHKO Èeské støedohoøí, Krajskı úøad Ústeckého kraje, Správa NP Èeské Švıcarsko"
"CZ0424141","Cottus gobio","CHKO Èeské Støedohoøí","5450a","2021","POP_VITALITA","Ryby a mihule","Labe - Prackovice","13125636","2021-08-25","0","val","3",NA,"3",0,"ano","val","lok","1","0","0","0",8,2,6,0,"Porta Bohemica",2021-08-25,2021-08-25,"RP SCHKO Èeské støedohoøí","AOPK ÈR - RP SCHKO Èeské støedohoøí, Krajskı úøad Ústeckého kraje, Správa NP Èeské Švıcarsko"
