"typ_predmetu_hodnoceni","kod_chu","nazev_chu","druh","feature_code","hodnocene_obdobi_od","hodnocene_obdobi_do","oop","parametr_nazev","parametr_hodnota","parametr_limit","parametr_jednotka","stav","trend","datum_hodnoceni","pracoviste","metodika"
"Druh","CZ0212010","Hvožïanské Háje","Coleanthus subtilis",NA,2012-05-14,2023-05-30,"Krajský úøad Støedoèeského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0214014","Podlesí","Coleanthus subtilis",NA,2012-09-07,2024-03-18,"AOPK ÈR - RP Støední Èechy",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0214014","Podlesí","Coleanthus subtilis",NA,2012-09-07,2024-03-18,"AOPK ÈR - RP Støední Èechy",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0214046","Rybník Vidlák","Coleanthus subtilis",NA,2020-07-08,2023-08-11,"Krajský úøad Støedoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0214046","Rybník Vidlák","Coleanthus subtilis",NA,2020-07-08,2023-08-11,"Krajský úøad Støedoèeského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0312038","Lomnický velký rybník","Coleanthus subtilis",NA,2015-06-10,2023-07-04,"AOPK ÈR - RP Jižní Èechy",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0312038","Lomnický velký rybník","Coleanthus subtilis",NA,2015-06-10,2023-07-04,"AOPK ÈR - RP Jižní Èechy",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0312040","Malý Horusický rybník","Coleanthus subtilis",NA,2015-05-14,2021-04-28,"AOPK ÈR - RP Jižní Èechy",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0312040","Malý Horusický rybník","Coleanthus subtilis",NA,2015-05-14,2021-04-28,"AOPK ÈR - RP Jižní Èechy",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0312048","Štièí rybník","Coleanthus subtilis",NA,2022-05-04,2024-04-30,"AOPK ÈR - RP Jižní Èechy",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0312048","Štièí rybník","Coleanthus subtilis",NA,2022-05-04,2024-04-30,"AOPK ÈR - RP Jižní Èechy",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0314019","Velký a Malý Tisý","Coleanthus subtilis",NA,2020-05-13,2024-04-30,"AOPK ÈR - RP Jižní Èechy",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0314019","Velký a Malý Tisý","Coleanthus subtilis",NA,2020-05-13,2024-04-30,"AOPK ÈR - RP Jižní Èechy",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0314635","Mnišský rybník","Coleanthus subtilis",NA,2012-05-15,2023-06-06,"Krajský úøad Jihoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0314635","Mnišský rybník","Coleanthus subtilis",NA,2012-05-15,2023-06-06,"Krajský úøad Jihoèeského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0314638","Vosecký rybník","Coleanthus subtilis",NA,2015-05-30,2024-05-16,"Krajský úøad Jihoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0314638","Vosecký rybník","Coleanthus subtilis",NA,2015-05-30,2024-05-16,"Krajský úøad Jihoèeského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0314640","Rybník Walden","Coleanthus subtilis",NA,2019-08-20,2024-05-16,"Krajský úøad Jihoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0314640","Rybník Walden","Coleanthus subtilis",NA,2019-08-20,2024-05-16,"Krajský úøad Jihoèeského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Èechy",15087
"Druh","CZ0322057","Maòovický rybník","Coleanthus subtilis",NA,2012-05-16,2023-05-30,"Krajský úøad Plzeòského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Èeský les",15087
"Druh","CZ0322057","Maòovický rybník","Coleanthus subtilis",NA,2012-05-16,2023-05-30,"Krajský úøad Plzeòského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Èeský les",15087
"Druh","CZ0420144","Novodomské a polské rašeliništì","Coleanthus subtilis",NA,2013-07-02,2013-07-03,"AOPK ÈR - RP SCHKO Slavkovský les, Krajský úøad Ústeckého kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0420144","Novodomské a polské rašeliništì","Coleanthus subtilis",NA,2013-07-02,2013-07-03,"AOPK ÈR - RP SCHKO Slavkovský les, Krajský úøad Ústeckého kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0534050","Èerný Nadýmaè","Coleanthus subtilis",NA,2012-05-25,2023-05-10,"Krajský úøad Pardubického kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Východní Èechy",15087
"Druh","CZ0534050","Èerný Nadýmaè","Coleanthus subtilis",NA,2012-05-25,2023-05-10,"Krajský úøad Pardubického kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Východní Èechy",15087
"Druh","CZ0612134","Dolní rybník u Újezda","Coleanthus subtilis",NA,2012-06-20,2024-05-28,"Krajský úøad Kraje Vysoèina",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612134","Dolní rybník u Újezda","Coleanthus subtilis",NA,2012-06-20,2024-05-28,"Krajský úøad Kraje Vysoèina",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612135","Hodíškovský rybník","Coleanthus subtilis",NA,2015-06-02,2024-06-04,"Krajský úøad Kraje Vysoèina",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612135","Hodíškovský rybník","Coleanthus subtilis",NA,2015-06-02,2024-06-04,"Krajský úøad Kraje Vysoèina",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612137","Obecník","Coleanthus subtilis",NA,2012-06-11,2024-06-06,"Krajský úøad Kraje Vysoèina",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612137","Obecník","Coleanthus subtilis",NA,2012-06-11,2024-06-06,"Krajský úøad Kraje Vysoèina",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612139","Pod Kamenným vrchem","Coleanthus subtilis",NA,2013-06-13,2024-05-23,"AOPK ÈR - RP Vysoèina",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612139","Pod Kamenným vrchem","Coleanthus subtilis",NA,2013-06-13,2024-05-23,"AOPK ÈR - RP Vysoèina",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612140","Podvesník","Coleanthus subtilis",NA,2014-06-05,2024-06-04,"Krajský úøad Kraje Vysoèina",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612140","Podvesník","Coleanthus subtilis",NA,2014-06-05,2024-06-04,"Krajský úøad Kraje Vysoèina",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612143","Rybník u Zadního Zhoøce","Coleanthus subtilis",NA,2015-06-02,2024-06-04,"Krajský úøad Kraje Vysoèina",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
"Druh","CZ0612143","Rybník u Zadního Zhoøce","Coleanthus subtilis",NA,2015-06-02,2024-06-04,"Krajský úøad Kraje Vysoèina",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Vysoèina",15087
