"SITECODE","NAZEV","DRUH","FEATURE_CODE","BIOTOP_PLOCHA","BIOTOP_PROCENTO"
"CZ0723403","Uhliska","Phengaris teleius",6177,10.9927944544498,0.216933573809784
"CZ0724090","Bílé Karpaty","Phengaris teleius",6177,2776.62743505919,0.138531395817612
"CZ0214005","Andělské schody","Lycaena dispar",1060,26.2022285870965,0.140243127922658
"CZ0214040","Louky u Drahlína","Lycaena dispar",1060,1.44936280345695,0.114845355529722
"CZ0313004","Terčino údolí","Lycaena dispar",1060,3.19557595784324,0.539806174954304
"CZ0313123","Stropnice","Lycaena dispar",1060,108.427875538431,0.0871582471212467
"CZ0314123","Boletice","Lycaena dispar",1060,1674.36495358048,0.0822835014677957
"CZ0314124","Blanský les","Lycaena dispar",1060,649.458538079511,0.0292391599524166
"CZ0323150","Kamenec","Lycaena dispar",1060,7.90662069474923,0.792229230561352
"CZ0424030","Bezručovo údolí","Lycaena dispar",1060,20.9307942891069,0.0175141929243589
"CZ0424127","Východní Krušnohoří","Lycaena dispar",1060,927.034277383777,0.063343072390274
"CZ0513506","Horní Ploučnice","Lycaena dispar",1060,152.321700861271,0.174373408220386
"CZ0514670","Ronov - Vlhošť","Lycaena dispar",1060,277.385490989939,0.371152666199165
"CZ0523010","Na Plachtě","Lycaena dispar",1060,11.7542725273894,0.210670663557183
"CZ0523014","Vladivostok","Lycaena dispar",1060,17.0899301495786,0.77231585685018
"CZ0523275","Kačerov","Lycaena dispar",1060,1.44841999339331,0.651312777965748
"CZ0534055","Ratajské rybníky","Lycaena dispar",1060,12.2723969151785,0.601184052467273
"CZ0537011","Louky u Přelouče","Lycaena dispar",1060,57.0130216484404,0.427096764943512
"CZ0723403","Uhliska","Lycaena dispar",1060,37.6509787746777,0.743010470801711
"CZ0724090","Bílé Karpaty","Lycaena dispar",1060,3967.60446250408,0.197951578704026
"CZ0113005","Lochkovský profil","Euplagia quadripunctaria",6199,14.1687057637764,0.41299249737003
"CZ0114001","Radotínské údolí","Euplagia quadripunctaria",6199,88.2119757923756,0.805998056552227
"CZ0213023","Hrdlička - Žďánská hora","Euplagia quadripunctaria",6199,27.849827157311,0.409113280374709
"CZ0213043","Třeštibok","Euplagia quadripunctaria",6199,27.7772919918509,0.956720872735224
"CZ0213065","Na Babě","Euplagia quadripunctaria",6199,21.4663819650579,0.734914637318281
"CZ0213779","Břežanské údolí","Euplagia quadripunctaria",6199,386.601624811128,0.778613593026901
