sitecode;typ_chu;nazev_chu;pracoviste;,,
CZ0420507;EVL;Údolí Chøibské Kamenice;RP Liberecko,,;
CZ0423652;EVL;Chøibská - kostel;RP Liberecko,,;
CZ0510400;EVL;Jizerskohorské buèiny;RP Liberecko,,;
CZ0510402;EVL;Rašeliništì Jizerky;RP Liberecko,,;
CZ0510403;EVL;Quarré;RP Liberecko,,;
CZ0510408;EVL;Smìdava;RP Liberecko,,;
CZ0510412;EVL;Jizerské smrèiny;RP Liberecko,,;
CZ0513249;EVL;Prácheò - Zicht;RP Liberecko,,;
CZ0513657;EVL;Bílá Desná - kanál protrené pøehrady;RP Liberecko,,;
CZ0510405;EVL;Bukovec;RP Liberecko,,;
CZ0513509;EVL;Svitavka;RP Liberecko,,;
CZ0420520;EVL;Luickohorské buèiny;RP Liberecko,,;
CZ0510415;EVL;Rašeliništì Jizery;RP Liberecko,,;
CZ0514113;EVL;Podtrosecká údolí;RP Liberecko,,;
CZ0714085;EVL;Morava - Chropyòskı luh;RP Olomoucko,,;
CZ0724089;EVL;Beskydy;RP Moravskoslezské,,;
CZ0810004;EVL;Niva Morávky;RP Moravskoslezské,,;
CZ0810032;EVL;Ptaèí hora;RP Moravskoslezské,,;
CZ0810036;EVL;Štramberk;RP Moravskoslezské,,;
CZ0813438;EVL;Cihelna Kunín;RP Moravskoslezské,,;
CZ0813474;EVL;Údolí Moravice;RP Moravskoslezské,,;
CZ0814092;EVL;Poodøí;RP Moravskoslezské,,;
CZ0811020;PO;Poodøí;RP Moravskoslezské,,;
CZ0811022;PO;Beskydy;RP Moravskoslezské,,;
CZ0721023;PO;Horní Vsacko;RP Moravskoslezské,,;
CZ0711018;PO;Litovelské Pomoraví;RP Olomoucko,,;
CZ0712186;EVL;Hrdiboøické rybníky;RP Olomoucko,,;
CZ0712225;EVL;Za hrnèíøkou;RP Olomoucko,,;
CZ0714076;EVL;Kosíø - Lomy;RP Olomoucko,,;
CZ0714077;EVL;Pradìd;RP Olomoucko,,;
CZ0713722;EVL;Branná - hrad;RP Olomoucko,,;
CZ0713730;EVL;Na Špièáku;RP Olomoucko,,;
CZ0714073;EVL;Litovelské Pomoraví;RP Olomoucko,,;
CZ0714075;EVL;Keprník;RP Olomoucko,,;
CZ0714078;EVL;Rabštejn;RP Olomoucko,,;
CZ0714080;EVL;Špranìk;RP Olomoucko,,;
CZ0714081;EVL;Rejvíz;RP Olomoucko,,;
CZ0714082;EVL;Beèva - ebraèka;RP Olomoucko,,;
CZ0715024;EVL;Šumárník;RP Olomoucko,,;
CZ0715025;EVL;Údolí Malínského potoka;RP Olomoucko,,;
CZ0810018;EVL;Sovinec;RP Olomoucko,,;
CZ0813445;EVL;Heømanovice;RP Olomoucko,,;
CZ0813450;EVL;Karlova Studánka;RP Olomoucko,,;
CZ0813468;EVL;Sokolí potok;RP Olomoucko,,;
CZ0813472;EVL;Suchá Rudná - zlatı lom;RP Olomoucko,,;
CZ0813763;EVL;Javorovı vrch;RP Olomoucko,,;
CZ0813765;EVL;Štola Franz - Franz;RP Olomoucko,,;
CZ0530146;EVL;Králickı Snìník;RP Olomoucko,,;
CZ0711017;PO;Jeseníky;RP Olomoucko,,;
CZ0714086;EVL;Rychlebské hory - Sokolskı høbet;RP Olomoucko,,;
CZ0424031;EVL;Èeské Švıcarsko;RP SCHKO Èeské støedohoøí,,;
